Date,Player,Angel,Alice,Aladdin,Anger,Animal,Barbossa,Basil,Baymax,Beast,Belle,Bogo,Bo.Peep,Buzz,Calhoun,Cheshire.Cat,Colette,Dark.Wing,Dash,Davy.Jones,Donald,Ducky.Bunny,Duke.Caboom,Eeyore,Elasticgirl,Elsa,Eve,Evil.Queen,Facilier,Felix,Finnick,Flynn,Flynn.Rider,Frozone,Gaston,Genie,Gerald.M.N,Gizmo,Goliath,Gonzo,Goofy,Hades,Hank.Dory,Hercules,Hiro,Hook,Huey.D.L,Jack.Jack,Jack.Sparrow,Jafar,Jasmine,Joy,Judy.Hopps,Jumba,Kida,King.Louie,Kristoff.Sven,Launchpad,Linguini,Li.Shang,Madam.Mim,Mad.Hatter,Magica,Maleficent,Maximus,Megara,Megavolt,Merida,Merlin,Mickey,Miguel,Mike,Minnie,Miss.Piggy,Moana,Mr.Incredible,Mulan,Mushu,Nick.Wilde,Olaf,Oogie,Peter.Pan,Pleakley,Pooh,Powerline,Quorra,Queen.of.Hearts,Rafiki,Randall,Rapunzel,Rex,Robin.Hood,Scar,Scrooge,Shank,Shan.Yu,Simba.Nala,Stitch,Sulley,Syndrome,Tia.Dalma,Tigger,Timon.Pumbaa,Tron,Ursula,Violet,WallE,Woody,Yax,Yzma,Zurg
2020-01,brl.gilmara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,,,sc,,an,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,brl.gilmara,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,brl.gilmara,,,,,,,,wa,su,,,,,,,,,,,,me,,,,,,,,,,,,,ca,,,,,,je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.disco.stu/brotherhood,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,da,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.disco.stu/brotherhood,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.disco.stu/brotherhood,,,,zu,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,el,,,,,,,,,,,,ja,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bro.gariette/the.brotherhood,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.gariette/the.brotherhood,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,ba,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.gariette/the.brotherhood,,,,,,,,ol,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bro.gariette/the.brotherhood,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.gary/the.yolohood,,,,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,ba,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.gary/the.yolohood,,,,,,,,ol,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.gary/the.yolohood,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,bro.stuuby.doo/the.brotherhood,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,brofessor.xi,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,brofessor.xi,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,sc,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,brofessor.xi,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ro,,,,,,,,,mi,,,,,,,ma,,,,,,,,,,,,,
2020-01,brother.alexp/the.yolohood,,,,zu,,,,,,,,,,,,,,,,,,wo,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,brother.alexp/the.yolohood,,,,,wa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,me,yz,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.alexp/the.yolohood,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,ba,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,brother.john/the.yolohood,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,yz,,,,,,,,,,,,,,st,,,,,,,,
2020-01,brother.john/the.yolohood,,,,,,,,wa,su,,,,,,,,,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,brother.john/the.yolohood,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.nuts/home,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.nuts/home,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.nuts/home,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,brother.nuts/home,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,ba,,,,,,ol,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.tom,,,,,,,,,su,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,el,,,,,,,,,,,,ja,,,,,,,,,,,,,,,,,,,,,,,
2020-01,brother.tom,,,,,go,,,,,,,,,,,,,,,,ti,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bruce.lee/home,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,ja,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,bruce.lee/home,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,je,,,,,ba,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bruce.lee/home,,,,zu,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,bruxa.zurg/br.legends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,ev,,,ga,,,,ma,,,,,mh,,,,,,,,,,,,,
2020-01,buhawi/pinoy.all.star,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,cassandrarae/toy.soldiers,,,,,,,,,,,,jo,,,,,,,,,ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,chef.hans/destiny,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,ur,,,,,,,,,,,,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fr,,
2020-01,chronuck,,,,,wa,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,chronuck,,,,,,ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,chronuck,,,,,,,,wa,su,,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,chula/disney.nation,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,me,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,,,,,,
2020-01,cuzzy.bro,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,ju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,qh,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,cuzzy.bro,,,,,go,,,,,,,,,,,,,,,,,wo,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,cuzzy.bro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,da,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,ur,
2020-01,dad.asura/home,,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,je,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,mo,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,dad.asura/home,,,,zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,du,,,,,,,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,dad.asura/home,,,,,go,,,,,,,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,daltanious81/disney.hunters,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,da,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,dan.the.man/shadow.vengeance,,,,,,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh,,,,,,,,,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,
2020-01,dancing.jazzy/dark.ninjas,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba,,,,,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,ma,,,,,,,,,,,,,
2020-01,dead.bolt/retired,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,dead.bolt/retired,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,,je,,,,,,,,,sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,
2020-01,dead.bolt/retired,,,,zu,go,,,,su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ge,,,,,,,,,,,,,,,,,,,,,,,,ma,,,,,,,,,,,,,,,,,,
2020-01,dead.bolt/retired,,,,,,,,,,,,wo,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,ga,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,defender.b/phoenix.risen,,,,,,,,,,,,,,vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bo,,,,,,,,,,,,,,,,ur,,,,,,,,,,,me,,,,,mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,dice.silverforge/glitches,,,,,go,,,,,,,,,,,,,,,,,,,,,,,,fr,,,,,,,,,,,,,,,,,,,,,,ol,,,,,,,,,,,,,,sh,,,,,,,,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,
2020-01,dice.silverforge/glitches,,,,,,,,,,,,wo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,,,,,,,hi,,,,,,,,,,,,,,,,ga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st,,,,,,,,
2020-01,dice.silverforge/glitches,,,,,,,,,,,,,,,,,,,,,me,,,,,,,,,,,,,,,,,,du,je,,,,,pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,disco/shadow.vengeance,,,,,,,,,,,,,,,,,,vi,,,,,,,,,,,fr,,,,,,,,,,du,,,,,,ba,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01,disco/shadow.vengeance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sc,,ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ho,,,,,,,ja,,,,,,he,,,,,,,,,,,,,,,,,
